question,answer
"CoinTutor란 무엇인가요?","CoinTutor는 암호화폐 투자 정보를 제공하는 구독 기반 튜터링 플랫폼입니다. 일반 사용자는 튜터를 구독하고 학습 콘텐츠(스터디·시험·문제)와 코인 추천을 이용합니다. 튜터는 투자 전문가로 등록해 학습 콘텐츠를 만들고 코인 추천을 제공하며 구독료 수익을 얻습니다. 모든 결제·충전·출금·구독료·수익은 USDT(테더)로만 처리됩니다."
"CoinTutor 서비스 구성은 어떻게 되나요?","서비스는 학습, 추천, 구독, 지갑, 추천인(리퍼럴)으로 구성됩니다. 학습은 스터디·시험·보이스 인터뷰·문제 풀이(튜터별 학습 콘텐츠)입니다. 추천은 튜터의 코인 추천(목표가, 목표일, 분석 등)이며 회원 이상만 조회 가능합니다. 구독은 튜터별 월 구독료를 USDT로 결제해 해당 튜터의 학습·추천을 이용합니다. 지갑은 USDT 충전·출금·잔액 조회, 추천인은 링크 공유 시 구독 발생 시 수수료(커미션) 지급입니다."
"CoinTutor 멤버십 레벨은 어떻게 되나요?","일반회원은 회원가입만으로 학습 이용 가능, 코인 추천 불가. 준회원은 멤버되기 클릭·USDT 결제 전으로 학습 이용 가능, 코인 추천 불가. 회원은 USDT 결제 완료 후 학습·코인 추천 모두 이용 가능합니다. 코인 추천은 회원(구독 결제 완료)부터 조회 가능합니다."
"CoinTutor에서 사용하는 통화는 무엇인가요?","모든 금액은 USDT(테더) 단위로만 표시·처리됩니다. 표기 예: 29.99 USDT, 1000 USDT. USD, KRW 등 다른 통화 표기는 사용하지 않습니다. 암호화폐 결제 정책·규제 대응을 위해 단일 스테이블코인(USDT)으로 통일합니다."
"구독·결제 흐름은 어떻게 되나요?","튜터 선택 후 구독하기 → 구독료(USDT/월) 확인 → 지갑 잔액으로 결제 또는 USDT 입금 후 결제. 결제 완료 시 회원 전환되어 해당 튜터의 코인 추천 조회 가능. 구독 갱신은 설정에 따라 자동 갱신 또는 만료 시 재결제합니다."
"USDT 충전(입금)은 어떻게 하나요?","TRC20(Tron) 권장: 수수료 상대적으로 낮고 처리 1–3분. ERC20(Ethereum) 선택 가능: 수수료 높고 5–15분. 플랫폼이 안내하는 입금 주소로 USDT 송금 후 확인되면 잔액에 반영됩니다."
"USDT 출금은 어떻게 하나요?","지갑에서 출금 요청 → 관리자 승인 후 블록체인 전송. 출금 수수료는 사용자는 USDT만 받고, 네트워크 수수료(가스비)는 플랫폼이 부담하는 구조일 수 있으므로 운영 정책을 확인하세요."
"구독료·입금·출금 수수료는 어떻게 되나요?","구독료는 튜터가 정한 월 구독료(USDT)를 그대로 결제합니다. 입금 시 블록체인 네트워크 수수료(TRC20/ERC20 등)는 사용자가 거래소·지갑에서 부담합니다. 출금은 플랫폼 정책에 따라 무료 또는 일부 수수료가 적용되므로 안내 문구를 확인하세요."
"회원가입·로그인은 어떻게 하나요?","소셜 로그인(Google, Apple, Facebook 등)으로 가입·로그인. 가입 후 이메일 인증 완료 시 모든 기능 이용을 권장합니다. 프로필에서 언어(ko, en, ja, zh, es, fr), 타임존 설정 가능. 모든 시간은 UTC 저장, 화면에서는 사용자 타임존으로 표시됩니다."
"학습(Learning)은 누가 이용할 수 있나요?","로그인한 사용자(일반회원·준회원·회원) 모두 이용 가능합니다. 학습 홈(/learning), 스터디(/learning/studies), 시험(/learning/exams), 시험 응시(/learning/take-exam/:id), 시험 결과, 보이스 인터뷰, 문제(/learning/questions), 텍스트→문제(/learning/text-to-questions) 등 메뉴가 있습니다. 멤버되기를 누르면 준회원이 되고 USDT 결제 완료 시 회원이 되어 코인 추천도 볼 수 있습니다."
"튜터 검색·구독은 어떻게 하나요?","튜터 목록(/tutors)에서 검색·필터·정렬, 튜터 랭킹(/tutors/ranking)에서 등급·온도·성공률 기준 랭킹, 튜터 상세(/tutors/:id)에서 프로필·구독하기, 내 튜터(/my-tutors)에서 구독 중인 튜터, 성과(/performance)에서 추천 성과 요약을 볼 수 있습니다. 구독료(USDT/월) 확인 후 지갑 잔액으로 결제하거나 USDT를 충전한 뒤 결제합니다. 구독 해지 시 만료일까지는 학습·추천 이용 가능, 만료 후 조회 불가."
"코인 추천은 누가 볼 수 있나요?","회원(해당 튜터 구독 결제 완료)만 구독한 튜터의 코인 추천을 볼 수 있습니다. 코인명, 현재가·목표가, 목표일, 상승률, 분석·근거, 상태(진행 중/달성/실패) 등이 제공됩니다. 목표 달성 시 알림(푸시·이메일 등) 수신 가능합니다."
"구독·결제 내역은 어디서 보나요?","구독 관리(/subscriptions)에서 구독 중인 튜터, 만료일, 해지. 결제 내역(/billing)에서 USDT 결제 내역(구독료 등)을 확인할 수 있습니다."
"지갑 메뉴는 어디에 있나요?","지갑(/wallet)에서 USDT 잔액, 충전(입금 주소·네트워크 선택), 출금 요청을 할 수 있습니다. 충전은 TRC20 권장, ERC20 선택 가능. 출금은 플랫폼 정책·승인 절차에 따릅니다."
"추천인(리퍼럴) 수익은 어떻게 받나요?","내 수익(/referral/my-earnings)에서 내 추천인 링크로 가입·구독 시 발생한 커미션(수익)을 조회합니다. 추천인 링크로 들어온 사용자가 구독하면 정책에 따라 일정 비율(예: 1%)이 USDT로 지급될 수 있습니다."
"알림 설정은 어디서 하나요?","알림(/notifications)에서 새 추천, 목표 달성, 구독 만료 예정 등을 확인합니다. 프로필에서 푸시·이메일 수신 여부를 설정할 수 있습니다."
"튜터 수수료는 어떻게 되나요?","튜터가 정한 월 구독료는 USDT로만 설정·표시·결제됩니다. 플랫폼 수수료 기본 30% — 구독료의 30%가 플랫폼 수수료로 차감됩니다. 마케팅이 포함되면 추가 마케팅 비용이 별도 청구될 수 있습니다. 튜터 수익 = 구독료(USDT) − 플랫폼 수수료(30% 등) − 마케팅 비용(해당 시)."
"튜터 신청은 어떻게 하나요?","프로필 메뉴 → 튜터 되기 → /tutor/apply. 닉네임, 프로필 이미지, 자기소개, 투자 경력, 월 구독료(USDT), 포트폴리오 링크 등 입력. 튜터 이용약관, 플랫폼 수수료(30% 기본, 마케팅 시 추가 비용) 안내 동의. 관리자 검토 후 승인 시 튜터 권한 부여, Bronze 등급부터 시작합니다."
"튜터 대시보드 메뉴는 무엇이 있나요?","대시보드(/tutor/dashboard): 구독자 수, 월 수익(USDT), 추천 수, 성공률, 등급·온도 요약. 추천 관리(/tutor/recommendations): 코인 추천 목록·등록·수정·삭제. 추천 작성(/tutor/recommendations/create): 새 코인 추천 등록. 구독자 관리(/tutor/subscribers), 활동 이력(/tutor/activity-history), 추천인(/tutor/referral) 등이 있습니다. 수익 표시는 모두 USDT 단위입니다."
