question,answer
"What is CoinTutor?","CoinTutor is a subscription-based tutoring platform that provides cryptocurrency investment information. Regular users subscribe to tutors and use learning content (studies, exams, practice questions) and coin recommendations. Tutors register as investment experts to create learning content, provide coin recommendations, and earn subscription revenue. All payments, deposits, withdrawals, subscription fees, and earnings are processed in USDT (Tether) only."
"What does CoinTutor offer?","The service consists of Learning, Recommendations, Subscriptions, Wallet, and Referral. Learning includes studies, exams, voice interviews, and practice (tutor-specific content). Recommendations are tutors' coin picks (target price, target date, analysis) and are viewable by members and above. Subscriptions are monthly USDT payments per tutor to access that tutor's learning and recommendations. Wallet handles USDT deposit, withdrawal, and balance. Referral pays commission in USDT when someone subscribes via your link."
"What are the CoinTutor membership levels?","Regular member: sign-up only — can use learning, cannot view coin recommendations. Associate: after clicking Become Member, before USDT payment — can use learning, cannot view recommendations. Member: after USDT payment — can use both learning and coin recommendations. Coin recommendations are available only to members (subscription paid)."
"What currency does CoinTutor use?","All amounts are displayed and processed in USDT (Tether) only. Examples: 29.99 USDT, 1000 USDT. Other currencies (USD, KRW, etc.) are not used. The platform uses a single stablecoin (USDT) for payment policy and regulatory consistency."
"How does subscription and payment work?","Choose a tutor and Subscribe → confirm monthly fee (USDT) → pay with wallet balance or deposit USDT then pay. When payment is complete you become a member and can view that tutor's coin recommendations. Renewal is auto or manual at expiry depending on settings."
"How do I deposit USDT?","TRC20 (Tron) is recommended: lower fees and 1–3 minute processing. ERC20 (Ethereum) is optional: higher fees and 5–15 minutes. Send USDT to the deposit address shown by the platform; after confirmation your balance is updated."
"How do I withdraw USDT?","Request withdrawal in Wallet → after admin approval, funds are sent on the blockchain. Withdrawal fees: you may receive USDT only while the platform covers network (gas) fees; check the platform's policy."
"What are the fees for subscription, deposit, and withdrawal?","Subscription: you pay the tutor's monthly USDT fee as set. Deposit: blockchain network fees (TRC20/ERC20, etc.) are borne by you at your exchange or wallet. Withdrawal: free or partial fee per platform policy; check the on-screen notice."
"How do I sign up and log in?","Sign up and log in with social login (Google, Apple, Facebook, etc.). Completing email verification after sign-up is recommended for full access. In Profile you can set language (ko, en, ja, zh, es, fr) and timezone. All times are stored in UTC and shown in your timezone."
"Who can use Learning?","All logged-in users (regular, associate, member) can use Learning. Menus include Learning home (/learning), Studies (/learning/studies), Exams (/learning/exams), Take exam (/learning/take-exam/:id), Exam results, Voice interview, Questions (/learning/questions), and Text-to-questions (/learning/text-to-questions). Click Become Member to become an associate; after USDT payment you become a member and can also view coin recommendations."
"How do I find and subscribe to a tutor?","Tutor list (/tutors) for search, filter, sort; Tutor ranking (/tutors/ranking) by grade, temperature, success rate; Tutor detail (/tutors/:id) for profile and Subscribe; My tutors (/my-tutors) for current subscriptions; Performance (/performance) for recommendation summary. Confirm monthly USDT fee then pay with wallet balance or after depositing USDT. After cancellation you keep access until expiry; then access is removed."
"Who can see coin recommendations?","Only members (who have paid for that tutor's subscription) can view that tutor's coin recommendations. Content includes coin name, current/target price, target date, gain rate, analysis, and status (pending/achieved/failed). You can receive notifications (push/email) when targets are hit."
"Where do I see subscription and payment history?","Subscriptions (/subscriptions): current tutors, expiry, cancel. Billing (/billing): USDT payment history (subscription fees, etc.)."
"Where is the Wallet menu?","Wallet (/wallet): USDT balance, deposit (address and network selection), withdrawal requests. TRC20 is recommended for deposit; ERC20 is optional. Withdrawal follows platform policy and approval."
"How do I earn referral income?","My earnings (/referral/my-earnings) shows commission from sign-ups and subscriptions via your referral link. When a user who came via your link subscribes, a percentage (e.g. 1%) may be paid to you in USDT per policy."
"Where do I manage notifications?","Notifications (/notifications): new recommendations, target achieved, subscription expiring. In Profile you can turn push and email on or off."
